pred,ture,toa
0.21159582,0.2648,0.2076
0.2023662,0.1971,0.2
0.21413633,0.2204,0.2104
0.19124293,0.1801,0.1921
0.18051824,0.1939,0.1799
0.1846596,0.1935,0.1845
0.15798092,0.1952,0.162
0.16220617,0.1852,0.1669
0.1678741,0.1669,0.1698
0.1678741,0.1629,0.1711
0.2188961,0.185,0.2112
0.23006144,0.1879,0.2279
0.25912705,0.1857,0.2522
0.26581675,0.2071,0.2593
0.21763875,0.1923,0.2129
0.13286379,0.16,0.1435
0.15619518,0.1745,0.1605
0.2287648,0.2397,0.2252
0.23307511,0.2285,0.2292
0.22014044,0.2137,0.214
0.27240628,0.2018,0.2649
0.17715745,0.1922,0.1783
0.18051824,0.1927,0.181
0.2114071,0.2143,0.2097
0.20571308,0.2012,0.2039
0.21159582,0.1909,0.2084
0.17715745,0.1779,0.1789
0.20451885,0.199,0.2015
0.18871963,0.1855,0.1904
0.1678741,0.1686,0.1704
0.17715745,0.1746,0.1783
0.19461524,0.1802,0.1941
0.18663235,0.18,0.1866
0.2287648,0.1934,0.2246
0.17268696,0.1762,0.176
0.1965111,0.1833,0.1958
0.1965111,0.1964,0.1946
0.17211507,0.1998,0.1727
0.21413633,0.2189,0.2103
0.21159582,0.2172,0.2084
0.23714344,0.2296,0.2316
0.17268696,0.1853,0.1745
0.16925558,0.1682,0.1715
0.16550477,0.1618,0.1688
0.17303687,0.1683,0.174
0.22014044,0.1838,0.2143
0.20866573,0.1849,0.2061
0.19461524,0.1831,0.1928
0.17715745,0.1749,0.1784
0.21763875,0.1876,0.2118
0.23714344,0.2071,0.2312
0.18298864,0.1839,0.1825
0.18871963,0.1879,0.1897
0.22139782,0.2039,0.2135
0.15463597,0.1592,0.1572
0.17303687,0.1844,0.174
0.23709211,0.2321,0.2323
0.2287648,0.2166,0.2249
0.2514075,0.2304,0.2455
0.21763875,0.1953,0.2116
0.22301243,0.2064,0.2177
0.24262027,0.2459,0.2387
0.2514075,0.2482,0.2445
0.22575499,0.2203,0.2186
0.2514075,0.2457,0.2458
0.27573964,0.2421,0.2692
0.23709211,0.2449,0.233
0.27040425,0.2377,0.2613
0.27967978,0.249,0.2664
0.28070316,0.25,0.2676
0.23714344,0.2168,0.2318
0.24826737,0.1992,0.2424
0.20445572,0.2029,0.2049
0.25637048,0.2134,0.249
0.2043163,0.1947,0.2006
0.18871963,0.1982,0.1881
0.23714344,0.219,0.2317
0.2009796,0.2059,0.1979
0.24019462,0.2013,0.2353
0.22279616,0.2108,0.2164
0.21763875,0.2171,0.2123
0.18051824,0.1935,0.18
0.19893983,0.1941,0.1974
0.2287648,0.216,0.2253
0.1975565,0.2128,0.1958
0.22941458,0.2189,0.2255
0.21763875,0.204,0.2116
0.23820421,0.2321,0.2301
0.21763875,0.207,0.2119
0.1975565,0.2048,0.1966
0.2114071,0.1909,0.2093
0.2514075,0.2142,0.2447
0.21763875,0.2041,0.2122
0.23559858,0.2265,0.2297
0.2280856,0.2323,0.2238
0.24019462,0.2226,0.2352
0.25912705,0.2412,0.2527
0.24637942,0.2355,0.24
0.24826737,0.242,0.2428
0.27834088,0.2689,0.2701
0.27240628,0.2607,0.2649
0.2280856,0.2378,0.224
