pred,ture,toa
0.16542368,0.1734,0.1772
0.17310664,0.1606,0.1816
0.18990801,0.1793,0.194
0.21511276,0.2024,0.2183
0.18990801,0.1983,0.1941
0.17668094,0.1737,0.185
0.15642905,0.1652,0.1683
0.15642905,0.1632,0.168
0.16542368,0.1676,0.1768
0.18023102,0.178,0.1864
0.15983321,0.1521,0.172
0.16895007,0.1514,0.1796
0.19380684,0.1556,0.1958
0.21297677,0.1785,0.2164
0.21298625,0.1725,0.2154
0.17249385,0.15,0.1813
0.17249385,0.1523,0.1811
0.2144525,0.1657,0.2166
0.13085543,0.1333,0.1505
0.17249385,0.1579,0.1809
0.16470392,0.1627,0.1764
0.16895007,0.1604,0.1787
0.17033438,0.1726,0.1803
0.16267398,0.1686,0.1741
0.15741336,0.1589,0.1697
0.16025624,0.1598,0.1728
0.16542368,0.1545,0.1766
0.19396208,0.1898,0.1949
0.19663513,0.1903,0.2027
0.17310664,0.1638,0.1825
0.16470392,0.1524,0.1759
0.17310664,0.1568,0.183
0.19396208,0.165,0.1947
0.20425022,0.1799,0.2074
0.21008155,0.1836,0.2123
0.19396208,0.1712,0.1947
0.16025624,0.1674,0.1731
0.15983321,0.1561,0.1725
0.17249385,0.1673,0.1814
0.18348569,0.1631,0.1902
0.17249385,0.1689,0.1811
0.16663152,0.1569,0.1781
0.16663152,0.1646,0.1785
0.1881001,0.1828,0.1916
0.21620741,0.208,0.2189
0.27258924,0.2431,0.2665
0.22347188,0.2456,0.2254
0.18350755,0.1754,0.1881
0.17310664,0.158,0.1828
0.19380684,0.1592,0.1958
0.17033438,0.1566,0.1805
0.18801664,0.1693,0.1934
0.20081764,0.172,0.2055
0.20638126,0.1735,0.2092
0.19695222,0.1709,0.2036
0.1968297,0.1822,0.2029
0.1808847,0.1696,0.1894
0.16470392,0.1498,0.1762
0.18348569,0.162,0.1904
0.18990801,0.1659,0.1931
0.16470392,0.1542,0.1761
0.16299543,0.1548,0.175
0.18348569,0.1697,0.1901
0.17310664,0.1809,0.1835
0.19618705,0.1854,0.1979
0.20425022,0.2043,0.2079
0.21511276,0.2018,0.218
0.22794265,0.208,0.2295
0.22203691,0.2051,0.2225
0.19769262,0.1968,0.2046
0.2403503,0.2086,0.2405
0.2384537,0.2141,0.2363
0.23476486,0.2119,0.2347
0.2080625,0.1989,0.2113
0.22617331,0.1929,0.2267
0.22203691,0.1907,0.2224
0.2010242,0.1864,0.2066
0.28682572,0.1868,0.2799
0.21008155,0.1776,0.2124
0.25955492,0.1896,0.255
0.24318074,0.1985,0.2433
0.19695222,0.2018,0.2033
