pred,ture,toa
0.15760465,0.1565,0.2047
0.14253236,0.1523,0.1924
0.1563298,0.1523,0.2021
0.1357811,0.1302,0.186
0.14052245,0.1281,0.1888
0.16716313,0.1401,0.2132
0.1878448,0.1565,0.2251
0.16693659,0.1534,0.2136
0.1873443,0.1756,0.2236
0.14928062,0.1503,0.1982
0.14253236,0.1539,0.1924
0.14253236,0.1456,0.1927
0.14263916,0.1466,0.1934
0.14139289,0.1444,0.1915
0.14052245,0.136,0.1897
0.13691977,0.1448,0.1874
0.14540613,0.1625,0.197
0.1873443,0.1706,0.2244
0.14330731,0.149,0.1959
0.14253236,0.1451,0.1925
0.13691977,0.1356,0.1877
0.14330731,0.1377,0.1959
0.14139289,0.1355,0.1917
0.15760465,0.1448,0.2035
0.1673271,0.1535,0.2144
0.16817763,0.1505,0.2109
0.14330731,0.14,0.1951
0.14330731,0.138,0.1963
0.14263916,0.1385,0.193
0.14052245,0.1354,0.1888
0.14928062,0.1394,0.1967
0.14052245,0.1435,0.1892
0.15284619,0.1442,0.2007
0.1563298,0.1405,0.2016
0.14330731,0.1475,0.1953
0.14928062,0.144,0.1967
0.14928062,0.1419,0.1973
0.14928062,0.1505,0.1978
0.19133484,0.2247,0.2301
0.23966554,0.2415,0.2732
0.1524553,0.1743,0.2029
0.16753301,0.1448,0.2072
0.1563298,0.1419,0.2026
0.1524553,0.1427,0.2012
0.18423773,0.1591,0.2215
0.1878448,0.1577,0.2266
0.21009201,0.1599,0.2488
0.21009201,0.1846,0.2501
0.19279511,0.1688,0.2389
0.1956179,0.1627,0.2357
0.1878448,0.1673,0.2265
0.1563298,0.1433,0.2028
0.18423773,0.1512,0.222
0.15834981,0.1555,0.2067
0.16222431,0.1536,0.2064
0.14330731,0.1445,0.1949
0.16817763,0.1552,0.2115
0.16817763,0.1588,0.2105
0.19133484,0.1742,0.2297
0.1873443,0.1735,0.2233
0.19133484,0.1785,0.2309
0.1878448,0.1796,0.2259
0.19817434,0.1808,0.2326
