7, Short Wavelength Infrared  2.100 - 2.300 mu    ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
319
Wavenumber (cm-1)   Filter response
     4708.097928       0.886411
     4710.315591       0.883615
     4712.535344       0.867845
     4714.757190       0.853714
     4716.981132       0.846344
     4719.207173       0.836001
     4721.435316       0.813716
     4723.665564       0.792667
     4725.897921       0.776463
     4728.132388       0.756529
     4730.368969       0.722284
     4732.607667       0.689664
     4734.848485       0.663067
     4737.091426       0.633521
     4739.336493       0.593227
     4741.583689       0.554715
     4743.833017       0.522458
     4746.084480       0.488816
     4748.338082       0.450470
     4750.593824       0.412621
     4752.851711       0.377044
     4755.111745       0.342526
     4757.373930       0.311347
     4759.638267       0.280925
     4761.904762       0.253732
     4764.173416       0.227234
     4766.444233       0.202780
     4768.717215       0.179714
     4770.992366       0.162055
     4773.269690       0.144668
     4775.549188       0.128292
     4777.830865       0.112830
     4780.114723       0.100640
     4782.400765       0.088907
     4784.688995       0.079382
     4786.979416       0.070409
     4789.272031       0.063270
     4791.566842       0.056429
     4793.863854       0.050903
     4796.163070       0.045432
     4798.464491       0.040206
     4800.768123       0.035363
     4803.073967       0.032071
     4805.382028       0.028847
     4807.692308       0.025897
     4810.004810       0.023121
     4812.319538       0.021000
     4814.636495       0.018899
     4816.955684       0.016872
     4819.277108       0.014987
     4821.600771       0.013610
     4823.926676       0.012261
     4826.254826       0.011005
     4828.585225       0.009824
     4830.917874       0.008903
     4833.252779       0.007996
     4835.589942       0.007139
     4837.929366       0.006337
     4840.271055       0.005728
     4842.615012       0.005137
     4844.961240       0.004627
     4847.309743       0.004141
     4849.660524       0.003733
     4852.013586       0.003339
     4854.368932       0.003010
     4856.726566       0.002696
     4859.086492       0.002439
     4861.448712       0.002187
     4863.813230       0.001964
     4866.180049       0.001745
     4868.549172       0.001546
     4870.920604       0.001360
     4873.294347       0.001222
     4875.670405       0.001085
     4878.048780       0.000947
     4880.429478       0.000814
     4882.812500       0.000704
     4885.197851       0.000599
     4887.585533       0.000512
     4889.975550       0.000430
     4892.367906       0.000368
     4894.762604       0.000305
     4897.159647       0.000240
     4899.559040       0.000179
     4901.960784       0.000131
     4904.364885       0.000083
     4906.771344       0.000037
     4909.180167       0.000000
