7, Short Wavelength Infrared  2.100 - 2.300 mu    ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
319
Wavenumber (cm-1)   Filter response
     4246.284501       0.000000
     4248.088360       0.000000
     4249.893753       0.000000
     4251.700680       0.000000
     4253.509145       0.000000
     4255.319149       0.000028
     4257.130694       0.000119
     4258.943782       0.000217
     4260.758415       0.000320
     4262.574595       0.000440
     4264.392324       0.000560
     4266.211604       0.000680
     4268.032437       0.000811
     4269.854825       0.000974
     4271.678770       0.001145
     4273.504273       0.001345
     4275.331338       0.001554
     4277.159966       0.001795
     4278.990158       0.002047
     4280.821918       0.002340
     4282.655246       0.002651
     4284.490146       0.003025
     4286.326618       0.003421
     4288.164666       0.003903
     4290.004290       0.004415
     4291.845494       0.005019
     4293.688278       0.005643
     4295.532646       0.006348
     4297.378599       0.007088
     4299.226139       0.007992
     4301.075269       0.008959
     4302.925990       0.010155
     4304.778304       0.011426
     4306.632214       0.012930
     4308.487721       0.014545
     4310.344828       0.016562
     4312.203536       0.018688
     4314.063848       0.021262
     4315.925766       0.024000
     4317.789292       0.027516
     4319.654428       0.031213
     4321.521175       0.035634
     4323.389537       0.040405
     4325.259516       0.046332
     4327.131112       0.052702
     4329.004329       0.060703
     4330.879168       0.069276
     4332.755633       0.080268
     4334.633723       0.092029
     4336.513443       0.106531
     4338.394794       0.122015
     4340.277778       0.141435
     4342.162397       0.161749
     4344.048653       0.186151
     4345.936549       0.212213
     4347.826087       0.244645
     4349.717268       0.278260
     4351.610096       0.315712
     4353.504571       0.355569
     4355.400697       0.403993
     4357.298475       0.452698
     4359.197908       0.502693
     4361.098997       0.552647
     4363.001745       0.602539
     4364.906155       0.651673
     4366.812227       0.698520
     4368.719965       0.744025
     4370.629371       0.784880
     4372.540446       0.823876
     4374.453193       0.855489
     4376.367615       0.883588
     4378.283713       0.894940
     4380.201489       0.907109
     4382.120947       0.922405
     4384.042087       0.936650
     4385.964912       0.947195
     4387.889425       0.955588
     4389.815628       0.955085
     4391.743522       0.955095
     4393.673111       0.956943
     4395.604396       0.959895
     4397.537379       0.967502
     4399.472063       0.973662
     4401.408451       0.974409
     4403.346543       0.975206
     4405.286344       0.976199
     4407.227854       0.976540
     4409.171076       0.974168
     4411.116012       0.972794
     4413.062665       0.975019
     4415.011038       0.978024
     4416.961131       0.984536
     4418.912947       0.989132
     4420.866490       0.986037
     4422.821760       0.984349
     4424.778761       0.987747
     4426.737494       0.991127
     4428.697963       0.994356
     4430.660168       0.997261
     4432.624113       0.999279
     4434.589800       1.000000
     4436.557232       0.995894
     4438.526409       0.992675
     4440.497336       0.992469
     4442.470013       0.993153
     4444.444444       0.997654
     4446.420631       0.999600
     4448.398577       0.991486
     4450.378282       0.985056
     4452.359751       0.984693
     4454.342984       0.984155
     4456.327986       0.982760
     4458.314757       0.980904
     4460.303301       0.977637
     4462.293619       0.973416
     4464.285714       0.965473
     4466.279589       0.960173
     4468.275246       0.964315
     4470.272687       0.966786
     4472.271914       0.963736
     4474.272931       0.959970
     4476.275739       0.953245
     4478.280340       0.949261
     4480.286738       0.955750
     4482.294935       0.960764
     4484.304933       0.960554
     4486.316734       0.959060
     4488.330341       0.951965
     4490.345757       0.947696
     4492.362983       0.954785
     4494.382022       0.960339
     4496.402878       0.960212
     4498.425551       0.958833
     4500.450045       0.951706
     4502.476362       0.947160
     4504.504504       0.953274
     4506.534475       0.958041
     4508.566276       0.957781
     4510.599910       0.957814
     4512.635379       0.959239
     4514.672686       0.960741
     4516.711834       0.962473
     4518.752824       0.963685
     4520.795660       0.962905
     4522.840344       0.962434
     4524.886878       0.963523
     4526.935265       0.964365
     4528.985507       0.964442
     4531.037608       0.963135
     4533.091568       0.956666
     4535.147392       0.951991
     4537.205082       0.955661
     4539.264639       0.956567
     4541.326067       0.946217
     4543.389368       0.937592
     4545.454545       0.935132
     4547.521601       0.933523
     4549.590537       0.935776
     4551.661356       0.936472
     4553.734062       0.930981
     4555.808656       0.927984
     4557.885141       0.933908
     4559.963520       0.936899
     4562.043796       0.930508
     4564.125970       0.925692
     4566.210046       0.927085
     4568.296026       0.929162
     4570.383912       0.934675
     4572.473708       0.938955
     4574.565416       0.939253
     4576.659039       0.938820
     4578.754579       0.935493
     4580.852038       0.934142
     4582.951421       0.939939
     4585.052728       0.945318
     4587.155963       0.949283
     4589.261129       0.951661
     4591.368228       0.947414
     4593.477262       0.944482
     4595.588235       0.946554
     4597.701149       0.947019
     4599.816007       0.941859
     4601.932812       0.938060
     4604.051565       0.938737
     4606.172271       0.940213
     4608.294931       0.945010
     4610.419548       0.947923
     4612.546125       0.943400
     4614.674665       0.940311
     4616.805171       0.942515
     4618.937644       0.944956
     4621.072089       0.948644
     4623.208507       0.951518
     4625.346901       0.951641
     4627.487274       0.951119
     4629.629630       0.947778
     4631.773969       0.946412
     4633.920297       0.953332
     4636.068614       0.957717
     4638.218924       0.951812
     4640.371230       0.947085
     4642.525534       0.947014
     4644.681839       0.947477
     4646.840149       0.950874
     4649.000465       0.952773
     4651.162791       0.949094
     4653.327129       0.947423
     4655.493482       0.953083
     4657.661854       0.956635
     4659.832246       0.952551
     4662.004662       0.949400
     4664.179104       0.949643
     4666.355576       0.949694
     4668.534080       0.948776
     4670.714619       0.947537
     4672.897196       0.945168
     4675.081814       0.943194
     4677.268475       0.943112
     4679.457183       0.942952
     4681.647940       0.942571
     4683.840749       0.941406
     4686.035614       0.936544
     4688.232536       0.932227
     4690.431520       0.929693
     4692.632567       0.926131
     4694.835681       0.917985
     4697.040864       0.911091
     4699.248120       0.909739
     4701.457452       0.906527
     4703.668862       0.895232
     4705.882353       0.886127
