ture,toa,pred,aod,class,inf
0.1748525,0.16044,0.18676431,0.11378869,12.0,0.2539975
0.072305,0.07742,0.076666586,0.03392532,10.0,0.1469675
0.0771725,0.08302,0.08183121,-0.006828293,10.0,0.324425
0.044145,0.0566,0.047153663,-0.0366764,9.0,0.2795725
0.0825625,0.08378,0.08482328,-0.04627498,10.0,0.193305
0.1098975,0.1068,0.112924956,-0.008457374,12.0,0.1955875
0.0518175,0.06248,0.054899782,-0.016958399,12.0,0.3109775
0.0542375,0.06248,0.054899782,-0.009984594,12.0,0.3208225
0.093425,0.09272,0.09645101,-0.0555929,9.0,0.24913
0.087815,0.08668,0.09005997,-0.025507567,12.0,0.223335
0.08875,0.09238,0.09645101,-0.047183014,12.0,0.2603775
0.0841575,0.08932,0.09248861,-0.015700506,12.0,0.1551625
0.0466475,0.05658,0.047153663,-0.024756225,12.0,0.1494425
0.076705,0.08284,0.082649805,-0.037528593,10.0,0.1508725
0.085835,0.092,0.09421794,-0.019677281,12.0,0.2121425
0.1458125,0.1359,0.15122753,0.0049817413,12.0,0.248195
0.04299,0.05076,0.038843837,0.024491424,12.0,0.4561225
0.0758525,0.08102,0.08210916,-0.029331723,12.0,0.2004
0.044585,0.05934,0.04969882,-0.0030921288,10.0,0.32987
0.09403,0.09792,0.10290913,0.003867708,12.0,0.255565
0.0629825,0.07262,0.066680424,-0.000691564,10.0,0.3383675
0.076485,0.07828,0.07551439,0.015845085,10.0,0.41512
0.1134725,0.11214,0.121173754,0.108853206,12.0,0.2226475
0.0525875,0.06002,0.05051013,0.029851992,10.0,0.286475
0.0689225,0.07704,0.07393661,-0.024064897,12.0,0.26739
0.102555,0.10358,0.107313655,0.1866629,10.0,0.271845
0.0635875,0.06942,0.063769646,-0.03229304,12.0,0.2365625
0.11317,0.11218,0.11862205,0.00309066,10.0,0.2115925
0.091995,0.09042,0.09376272,-0.048282452,12.0,0.2405775
0.091555,0.09122,0.09206938,0.01709406,12.0,0.2210525
0.056135,0.06606,0.05861827,-0.024064897,10.0,0.3322625
0.1002725,0.10002,0.105025224,0.080071464,12.0,0.245005
0.089245,0.09034,0.091295235,-0.0013019199,12.0,0.2127475
0.098155,0.09992,0.10658384,0.03912137,10.0,0.3407875
0.0738725,0.07912,0.078672506,-0.008756903,12.0,0.137425
0.0817375,0.08632,0.08467231,0.024478504,10.0,0.2085675
0.0804175,0.08426,0.08335495,0.0013082771,12.0,0.153815
