ture,toa,pred,aod,class,inf
0.0696375,0.08148,0.05947438,-0.02242224,12.0,0.282625
0.07434,0.08908,0.06984086,-0.016547048,9.0,0.2461875
0.08831,0.09904,0.08580576,-0.052325673,10.0,0.190115
0.071535,0.0844,0.06547149,-0.03265884,12.0,0.199795
0.077255,0.08608,0.063892476,0.021204147,12.0,0.1886575
0.066695,0.08006,0.05389993,0.08900721,10.0,0.1723225
0.0525325,0.07282,0.047217958,0.004773996,10.0,0.142265
0.0787675,0.0881,0.066631556,0.00056819455,12.0,0.18764
0.06653,0.08908,0.06823105,-0.049180124,10.0,0.381405
0.06983,0.0841,0.06254477,-0.00033437985,12.0,0.162175
0.059325,0.08052,0.059439663,-0.044926923,12.0,0.1695175
0.0659525,0.08366,0.060642228,-0.01842677,12.0,0.2410725
0.1458125,0.14348,0.14409018,0.11164336,10.0,0.3376525
0.0849825,0.09316,0.07699352,-0.030658897,12.0,0.25452
0.0609475,0.07854,0.05719942,-0.02417377,10.0,0.108825
0.08655,0.09614,0.077468,-0.006331611,12.0,0.3094375
0.10877,0.11338,0.10336332,0.1337117,10.0,0.28246
0.0651825,0.0931,0.07699352,-0.028113384,12.0,0.1486175
0.0773375,0.09112,0.07242754,-0.006828293,12.0,0.2628525
0.0476925,0.06556,0.03394857,-0.06507331,12.0,0.2338675
0.0598475,0.07842,0.05719942,-0.00014714124,12.0,0.1010425
0.092655,0.10242,0.08660464,0.008405579,12.0,0.197045
0.0818475,0.09146,0.074540414,-0.012898544,9.0,0.27949
0.06378,0.08006,0.06270336,-0.04318027,12.0,0.1931675
0.059435,0.08016,0.054610394,-0.018601056,12.0,0.248085
0.06939,0.0864,0.063892476,0.0073380433,10.0,0.2869425
0.1063775,0.11144,0.0979015,0.08514222,10.0,0.3218125
0.08094,0.08906,0.06823105,0.030188054,12.0,0.1795825
0.0885575,0.0961,0.07945577,0.044506222,12.0,0.2010325
0.0684,0.08044,0.0578741,-0.054818127,12.0,0.217835
0.0642475,0.07888,0.05389993,0.024388151,10.0,0.2603225
0.0739275,0.09,0.06984086,0.0073380433,10.0,0.3525575
0.06554,0.0783,0.052370153,-0.018643593,12.0,0.2395875
0.0850925,0.09724,0.07945577,-0.006828293,10.0,0.34901
0.06708,0.08398,0.060642228,-0.010419403,9.0,0.31205
0.075165,0.08462,0.06377118,0.000951093,12.0,0.303525
0.0525875,0.07562,0.049091905,0.023751577,10.0,0.12824
0.0695,0.08338,0.060642228,-0.008776746,12.0,0.3128475
0.0694725,0.08602,0.06377118,-0.024064897,12.0,0.2926625
0.0954325,0.10044,0.08862564,0.057793558,12.0,0.2576275
0.0594625,0.07542,0.056279097,-0.017171875,12.0,0.111795
0.080225,0.08824,0.06823105,-0.0045167003,12.0,0.3485975
0.055475,0.0749,0.05242676,-0.027453082,10.0,0.132035
0.062405,0.07496,0.047622055,0.1082033,12.0,0.14738
0.064825,0.08252,0.06430365,0.0063057654,12.0,0.1315675
0.0734875,0.08842,0.06823105,-0.000691564,12.0,0.284825
0.0631475,0.0786,0.052370153,-0.016784113,12.0,0.2264975
0.08732,0.1008,0.08506537,-0.03850243,12.0,0.1823875
0.06565,0.07784,0.052370153,-0.0004962723,12.0,0.209145
0.1427875,0.14444,0.14729972,0.09439191,12.0,0.2720925
0.0913075,0.10406,0.089253075,-0.018289745,12.0,0.2491575
0.1301375,0.14082,0.1408514,-0.1179014,12.0,0.2536125
0.07214,0.08218,0.05947438,0.030188054,12.0,0.18808
0.1343175,0.13478,0.13035639,0.08368887,10.0,0.2945875
0.117735,0.119,0.107407995,0.18240173,12.0,0.248085
0.092765,0.10116,0.08862564,0.06214901,9.0,0.3069625
0.0646325,0.07716,0.05163854,-0.010100031,12.0,0.18258
0.0884475,0.0985,0.081201375,-0.011078805,10.0,0.2126375
0.063505,0.08428,0.060642228,-0.018601056,10.0,0.2508625
0.077585,0.09182,0.07242754,-0.008517441,12.0,0.2310075
0.0649625,0.0795,0.05719942,-0.008756903,12.0,0.1504875
0.0810225,0.0913,0.06997444,0.02875147,12.0,0.459835
0.0569875,0.07094,0.04193628,-0.018166246,12.0,0.3160375
0.0613325,0.07964,0.054610394,-0.03776317,9.0,0.2901875
0.075715,0.0915,0.07242754,0.014297313,12.0,0.1837625
0.05476,0.07262,0.050781827,-0.025473258,10.0,0.19952
0.0644675,0.0774,0.05163854,-0.03229304,10.0,0.23296
0.0742575,0.0835,0.06254477,0.000951093,12.0,0.3219775
0.09095,0.10328,0.088302046,0.0736909,12.0,0.2668675
0.0568775,0.07468,0.05242676,-0.0032500809,10.0,0.10778
