b8


837	0.00030097
838	0.00000000
839	0.00000000
840	0.00000000
841	0.00000000
842	0.00000000
843	0.00000000
844	0.00000000
845	0.00000000
846	0.00000000
847	0.00157217
848	0.00249886
849	0.01332037
850	0.02614866
851	0.05260479
852	0.10779709
853	0.22160755
854	0.39721628
855	0.60986885
856	0.81658883
857	0.93224450
858	0.97210033
859	0.97545482
860	0.97538048
861	0.97328205
862	0.97607828
863	0.98034955
864	0.98690928
865	0.99087465
866	0.99741818
867	0.99984673
868	0.99939141
869	0.99587928
870	0.99541228
871	1.00000000
872	0.99640762
873	0.92359433
874	0.74137684
875	0.48965971
876	0.25020643
877	0.11221246
878	0.04755984
879	0.02297815
880	0.01061438
881	0.00108149 
